symbol,price,cost_100_shares,target_price,earnings_date,tv_rating,score,chance_of_profit,iv,delta,strike,expiration_date,premium
SYF,71.49,7148.999999999999,79.68182,,,0.5265735576406295,89.60341285136639,0.8149532568359376,0.8960341285136638,55.0,2025-12-19,8.6
JCI,103.52,10352.0,112.35,,,0.5235482268258493,73.9794843557376,1.0,0.739794843557376,92.5,2025-10-17,8.7
TRMB,82.24,8224.0,94.75,,,0.5212980289341611,70.252451435101,0.9257919921875001,0.7025245143510099,75.0,2025-11-21,9.0
FTV,48.16,4816.0,63.0,,,0.5088778213698553,33.217980452369524,1.0,0.3321798045236952,70.0,2025-09-19,4.41
FITB,42.48,4248.0,48.01136,,,0.5080844764665244,88.31790547924562,0.7119269433593749,0.8831790547924563,35.0,2025-11-21,9.71
MRNA,28.02,2802.0,45.6,,,0.4982226980728051,50.0,0.3,0.5,28.02,,0.0
LKQ,30.97,3097.0,43.41667,,,0.49753831301596035,13.484994415632734,1.0,0.13484994415632734,50.0,2025-11-21,0.2
PCAR,98.22,9822.0,104.44588,,,0.4919527278092156,88.76194929953994,0.7270635107421876,0.8876194929953993,87.0,2025-09-19,8.9
CPRT,47.08,4708.0,58.625,,,0.48702275565191594,76.0871506957325,0.5564109204101562,0.7608715069573251,42.5,2026-01-16,8.9
PCG,15.02,1502.0,20.35714,,,0.4841958398012876,13.797587011163087,1.0,0.13797587011163087,25.0,2025-12-19,0.06
WRB,70.79,7079.000000000001,72.73333,,,0.48401986461700136,62.89212612118611,1.0,0.6289212612118611,67.5,2025-10-17,8.1
TRGP,163.19,16319.0,205.96906,,,0.4797856808624525,25.57144206122809,1.0,0.2557144206122809,240.0,2025-09-19,7.6
COO,73.26,7326.000000000001,93.26667,,,0.4772929829603126,22.682793691458503,1.0,0.22682793691458503,95.0,2025-11-21,0.5
MSTR,366.32,36632.0,569.8333,,,0.47666845927058304,50.0,0.3,0.5,366.32,,0.0
TEAM,167.0,16700.0,259.37857,,,0.47594952694610787,50.0,0.3,0.5,167.0,,0.0
EPAM,157.71,15771.0,212.125,,,0.47562750859560643,11.058951178153226,1.0,0.11058951178153226,250.0,2025-12-19,2.3
FI,136.7,13669.999999999998,184.3258,,,0.47489083906203106,10.185946231820164,1.0,0.10185946231820164,290.0,2026-01-16,3.71
WEC,107.36,10736.0,109.65385,,,0.47445491936988665,70.1786799285309,0.8884388500976561,0.701786799285309,97.5,2025-12-19,9.83
GDDY,145.96,14596.0,192.5294,,,0.4699866489093664,12.134938595543732,1.0,0.12134938595543732,210.0,2025-11-21,2.7
WDC,75.06,7506.0,87.7619,,,0.4671535626745754,37.464706344742716,0.9572858178710937,0.37464706344742715,87.5,2026-01-16,5.0
ALGN,142.43,14243.0,186.35715,,,0.4651602824614777,11.318310857924175,1.0,0.11318310857924174,370.0,2026-01-16,4.88
IFF,65.82,6581.999999999999,84.25263,,,0.46468152991326583,15.33385976064382,1.0,0.1533385976064382,97.5,2026-01-16,0.65
CARR,65.4,6540.000000000001,83.31136,,,0.46437861295118044,16.10820555815905,1.0,0.1610820555815905,110.0,2026-01-16,2.99
DAY,52.88,5288.0,66.86667,,,0.4625570474862106,16.603779038112897,1.0,0.16603779038112898,80.0,2025-09-19,1.24
ALLE,167.17,16717.0,171.27274,,,0.4570901379835871,78.74426778288488,0.7111945288085937,0.7874426778288487,155.0,2025-09-19,3.6
AKAM,74.42,7442.0,95.41304,,,0.45651508873621804,10.944241492537943,1.0,0.10944241492537943,175.0,2026-01-16,1.85
CTSH,70.0,7000.0,87.63136,,,0.4564331339765467,15.435081273987667,1.0,0.15435081273987666,105.0,2026-01-16,0.35
VTR,67.77,6777.0,76.38889,,,0.4549567354309546,70.68048658840138,0.6272109936523438,0.7068048658840138,62.5,2026-01-16,4.5
FIS,70.83,7083.0,86.16667,,,0.45436119519684853,20.57931250959471,0.9912210253906251,0.2057931250959471,97.5,2026-01-16,0.75
LNT,64.62,6462.0,67.7,,,0.45327334670132635,72.90386859878444,0.715833154296875,0.7290386859878444,60.0,2025-10-17,3.73
